Episode,Memory Usage (%),CPU Usage (%),GPU Memory Usage (MB)
0,75.2,5.2,8.7109375
0,75.2,5.2,8.7109375
1,75.1,2.6,8.7109375
1,75.1,2.6,8.7109375
2,75.1,3.9,8.7109375
2,75.1,3.9,8.7109375
3,75.2,3.8,8.7109375
3,75.2,3.8,8.7109375
4,75.1,2.9,8.7109375
4,75.1,2.9,8.7109375
5,75.2,4.8,8.7109375
5,75.2,4.8,8.7109375
6,75.1,3.8,8.7109375
6,75.1,3.8,8.7109375
7,74.0,3.0,8.7109375
7,74.0,3.0,8.7109375
8,73.9,4.2,8.7109375
8,73.9,4.2,8.7109375
9,74.0,3.9,8.7109375
9,74.0,3.9,8.7109375
10,74.0,4.0,8.7109375
10,74.0,4.0,8.7109375
11,75.7,3.8,38.00244140625
11,75.7,3.8,38.00244140625
12,75.8,5.3,38.00244140625
12,75.8,5.3,38.00244140625
13,76.1,3.6,38.00244140625
13,76.1,3.6,38.00244140625
14,76.0,3.6,38.00244140625
14,76.0,3.6,38.00244140625
15,75.9,4.4,38.00244140625
15,75.9,4.4,38.00244140625
16,76.3,4.4,38.00244140625
16,76.3,4.4,38.00244140625
17,76.4,4.0,38.00244140625
17,76.4,4.0,38.00244140625
18,75.6,5.1,38.00244140625
18,75.6,5.1,38.00244140625
19,75.7,4.5,38.00244140625
19,75.7,4.5,38.00244140625
20,75.7,3.6,38.00244140625
20,75.7,3.6,38.00244140625
21,75.7,4.6,38.00244140625
21,75.7,4.6,38.00244140625
22,75.7,4.5,38.00244140625
22,75.7,4.5,38.00244140625
23,75.8,3.6,38.00244140625
23,75.8,3.6,38.00244140625
24,75.8,4.7,38.00244140625
24,75.8,4.7,38.00244140625
25,75.9,4.8,38.00244140625
25,75.9,4.8,38.00244140625
26,75.9,4.0,38.00244140625
26,75.9,4.0,38.00244140625
27,75.9,4.8,38.00244140625
27,75.9,4.8,38.00244140625
28,76.0,5.1,38.00244140625
28,76.0,5.1,38.00244140625
29,75.9,3.9,38.00244140625
29,75.9,3.9,38.00244140625
30,75.8,4.4,38.00244140625
30,75.8,4.4,38.00244140625
31,75.9,5.2,38.00244140625
31,75.9,5.2,38.00244140625
32,75.9,4.4,38.00244140625
32,75.9,4.4,38.00244140625
33,75.9,4.3,38.00244140625
33,75.9,4.3,38.00244140625
34,79.0,8.0,38.00244140625
34,79.0,8.0,38.00244140625
35,78.1,4.6,38.00244140625
35,78.1,4.6,38.00244140625
36,78.0,4.7,38.00244140625
36,78.0,4.7,38.00244140625
37,78.1,5.1,38.00244140625
37,78.1,5.1,38.00244140625
38,78.1,4.0,38.00244140625
38,78.1,4.0,38.00244140625
39,78.1,4.5,38.00244140625
39,78.1,4.5,38.00244140625
40,78.1,3.5,38.00244140625
40,78.1,3.5,38.00244140625
41,78.1,3.5,38.00244140625
41,78.1,3.5,38.00244140625
42,78.2,3.5,38.00244140625
42,78.2,3.5,38.00244140625
43,78.2,4.2,38.00244140625
43,78.2,4.2,38.00244140625
44,78.3,4.0,38.00244140625
44,78.3,4.0,38.00244140625
45,79.0,3.4,38.00244140625
45,79.0,3.4,38.00244140625
46,78.8,2.9,38.00244140625
46,78.8,2.9,38.00244140625
47,78.6,4.4,38.00244140625
47,78.6,4.4,38.00244140625
48,79.0,5.0,38.00244140625
48,79.0,5.0,38.00244140625
49,79.0,6.0,38.00244140625
49,79.0,6.0,38.00244140625
50,79.1,4.1,38.00244140625
50,79.1,4.1,38.00244140625
51,79.1,3.4,38.00244140625
51,79.1,3.4,38.00244140625
52,79.1,3.6,38.00244140625
52,79.1,3.6,38.00244140625
53,79.2,3.6,38.00244140625
53,79.2,3.6,38.00244140625
54,79.2,4.9,38.00244140625
54,79.2,4.9,38.00244140625
55,79.3,3.9,38.00244140625
55,79.3,3.9,38.00244140625
56,79.4,3.9,38.00244140625
56,79.4,3.9,38.00244140625
57,78.6,6.0,38.00244140625
57,78.6,6.0,38.00244140625
58,78.8,4.3,38.00244140625
58,78.8,4.3,38.00244140625
59,78.8,3.2,38.00244140625
59,78.8,3.2,38.00244140625
60,78.8,6.0,38.00244140625
60,78.8,6.0,38.00244140625
61,78.9,4.6,38.00244140625
61,78.9,4.6,38.00244140625
62,78.9,5.7,38.00244140625
62,78.9,5.7,38.00244140625
63,79.0,4.8,38.00244140625
63,79.0,4.8,38.00244140625
64,75.8,4.7,38.00244140625
64,75.8,4.7,38.00244140625
65,75.9,4.7,38.00244140625
65,75.9,4.7,38.00244140625
66,76.0,4.0,38.00244140625
66,76.0,4.0,38.00244140625
67,76.1,5.6,38.00244140625
67,76.1,5.6,38.00244140625
68,76.0,3.8,38.00244140625
68,76.0,3.8,38.00244140625
69,76.1,3.6,38.00244140625
69,76.1,3.6,38.00244140625
70,76.1,3.5,38.00244140625
70,76.1,3.5,38.00244140625
71,76.2,4.8,38.00244140625
71,76.2,4.8,38.00244140625
72,76.6,4.7,38.00244140625
72,76.6,4.7,38.00244140625
73,76.6,3.9,38.00244140625
73,76.6,3.9,38.00244140625
74,75.8,3.3,38.00244140625
74,75.8,3.3,38.00244140625
75,75.9,4.8,38.00244140625
75,75.9,4.8,38.00244140625
76,76.2,4.0,38.00244140625
76,76.2,4.0,38.00244140625
77,76.1,5.4,38.00244140625
77,76.1,5.4,38.00244140625
78,76.2,4.3,38.00244140625
78,76.2,4.3,38.00244140625
79,76.2,4.4,38.00244140625
79,76.2,4.4,38.00244140625
80,76.3,4.0,38.00244140625
80,76.3,4.0,38.00244140625
81,76.3,4.7,38.00244140625
81,76.3,4.7,38.00244140625
82,76.3,4.6,38.00244140625
82,76.3,4.6,38.00244140625
83,76.8,4.3,38.00244140625
83,76.8,4.3,38.00244140625
84,76.6,3.0,38.00244140625
84,76.6,3.0,38.00244140625
85,76.7,4.0,38.00244140625
85,76.7,4.0,38.00244140625
86,76.7,3.1,38.00244140625
86,76.7,3.1,38.00244140625
87,76.8,4.3,38.00244140625
87,76.8,4.3,38.00244140625
88,76.6,4.0,38.00244140625
88,76.6,4.0,38.00244140625
89,76.7,4.3,38.00244140625
89,76.7,4.3,38.00244140625
90,76.8,3.9,38.00244140625
90,76.8,3.9,38.00244140625
91,76.7,4.6,38.00244140625
91,76.7,4.6,38.00244140625
92,77.0,4.7,38.00244140625
92,77.0,4.7,38.00244140625
93,76.7,3.3,38.00244140625
93,76.7,3.3,38.00244140625
94,76.2,4.0,38.00244140625
94,76.2,4.0,38.00244140625
95,76.4,3.6,38.00244140625
95,76.4,3.6,38.00244140625
96,76.5,3.1,38.00244140625
96,76.5,3.1,38.00244140625
97,76.6,4.0,38.00244140625
97,76.6,4.0,38.00244140625
98,76.6,3.5,38.00244140625
98,76.6,3.5,38.00244140625
99,76.7,4.5,38.00244140625
99,76.7,4.5,38.00244140625
100,76.7,1.2,38.00244140625
100,76.7,1.2,38.00244140625
101,76.7,5.1,38.00244140625
101,76.7,5.1,38.00244140625
102,76.8,3.2,38.00244140625
102,76.8,3.2,38.00244140625
103,76.9,3.3,38.00244140625
103,76.9,3.3,38.00244140625
104,76.8,3.1,38.00244140625
104,76.8,3.1,38.00244140625
105,75.8,3.9,38.00244140625
105,75.8,3.9,38.00244140625
106,75.8,3.3,38.00244140625
106,75.8,3.3,38.00244140625
107,75.9,6.0,38.00244140625
107,75.9,6.0,38.00244140625
108,75.8,3.8,38.00244140625
108,75.8,3.8,38.00244140625
109,76.0,5.6,38.00244140625
109,76.0,5.6,38.00244140625
110,76.1,2.1,38.00244140625
110,76.1,2.1,38.00244140625
111,76.1,4.9,38.00244140625
111,76.1,4.9,38.00244140625
112,76.2,5.9,38.00244140625
112,76.2,5.9,38.00244140625
113,75.5,3.8,38.00244140625
113,75.5,3.8,38.00244140625
114,75.6,5.8,38.00244140625
114,75.6,5.8,38.00244140625
115,75.7,3.8,38.00244140625
115,75.7,3.8,38.00244140625
116,75.8,3.8,38.00244140625
116,75.8,3.8,38.00244140625
117,75.7,3.4,38.00244140625
117,75.7,3.4,38.00244140625
118,75.8,4.2,38.00244140625
118,75.8,4.2,38.00244140625
119,75.9,4.5,38.00244140625
119,75.9,4.5,38.00244140625
120,76.1,4.9,38.00244140625
120,76.1,4.9,38.00244140625
121,76.1,3.5,38.00244140625
121,76.1,3.5,38.00244140625
122,76.3,4.6,38.00244140625
122,76.3,4.6,38.00244140625
123,76.4,3.3,38.00244140625
123,76.4,3.3,38.00244140625
124,76.2,4.6,38.00244140625
124,76.2,4.6,38.00244140625
125,76.1,5.3,38.00244140625
125,76.1,5.3,38.00244140625
126,76.2,2.7,38.00244140625
126,76.2,2.7,38.00244140625
127,76.2,4.4,38.00244140625
127,76.2,4.4,38.00244140625
128,76.3,5.3,38.00244140625
128,76.3,5.3,38.00244140625
129,76.4,3.0,38.00244140625
129,76.4,3.0,38.00244140625
130,76.5,4.7,38.00244140625
130,76.5,4.7,38.00244140625
131,77.2,3.0,38.00244140625
131,77.2,3.0,38.00244140625
132,77.3,4.8,38.00244140625
132,77.3,4.8,38.00244140625
133,76.6,2.7,38.00244140625
133,76.6,2.7,38.00244140625
134,76.4,3.1,38.00244140625
134,76.4,3.1,38.00244140625
135,76.6,2.7,38.00244140625
135,76.6,2.7,38.00244140625
136,76.5,5.0,38.00244140625
136,76.5,5.0,38.00244140625
137,76.6,3.0,38.00244140625
137,76.6,3.0,38.00244140625
138,76.7,3.6,38.00244140625
138,76.7,3.6,38.00244140625
139,76.8,2.6,38.00244140625
139,76.8,2.6,38.00244140625
140,76.7,3.9,38.00244140625
140,76.7,3.9,38.00244140625
141,76.8,3.9,38.00244140625
141,76.8,3.9,38.00244140625
142,76.9,3.8,38.00244140625
142,76.9,3.8,38.00244140625
143,76.9,3.3,38.00244140625
143,76.9,3.3,38.00244140625
144,76.6,5.2,38.00244140625
144,76.6,5.2,38.00244140625
145,76.8,3.9,38.00244140625
145,76.8,3.9,38.00244140625
146,77.0,4.8,38.00244140625
146,77.0,4.8,38.00244140625
147,77.0,4.4,38.00244140625
147,77.0,4.4,38.00244140625
148,77.0,2.9,38.00244140625
148,77.0,2.9,38.00244140625
149,77.2,3.9,38.00244140625
149,77.2,3.9,38.00244140625
150,77.3,2.5,38.00244140625
150,77.3,2.5,38.00244140625
151,77.3,3.0,38.00244140625
151,77.3,3.0,38.00244140625
152,77.4,5.4,38.00244140625
152,77.4,5.4,38.00244140625
153,77.4,2.3,38.00244140625
153,77.4,2.3,38.00244140625
154,76.5,3.5,38.00244140625
154,76.5,3.5,38.00244140625
155,76.6,3.6,38.00244140625
155,76.6,3.6,38.00244140625
156,76.6,4.4,38.00244140625
156,76.6,4.4,38.00244140625
157,76.7,4.9,38.00244140625
157,76.7,4.9,38.00244140625
158,76.8,4.3,38.00244140625
158,76.8,4.3,38.00244140625
159,76.9,4.5,38.00244140625
159,76.9,4.5,38.00244140625
160,77.1,3.5,38.00244140625
160,77.1,3.5,38.00244140625
161,77.2,4.4,38.00244140625
161,77.2,4.4,38.00244140625
162,77.1,5.8,38.00244140625
162,77.1,5.8,38.00244140625
163,75.9,4.5,38.00244140625
163,75.9,4.5,38.00244140625
164,76.0,3.1,38.00244140625
164,76.0,3.1,38.00244140625
165,76.1,3.2,38.00244140625
165,76.1,3.2,38.00244140625
166,76.0,4.6,38.00244140625
166,76.0,4.6,38.00244140625
167,76.2,5.6,38.00244140625
167,76.2,5.6,38.00244140625
168,76.3,3.9,38.00244140625
168,76.3,3.9,38.00244140625
169,76.3,4.8,38.00244140625
169,76.3,4.8,38.00244140625
170,76.4,5.1,38.00244140625
170,76.4,5.1,38.00244140625
171,76.5,3.4,38.00244140625
171,76.5,3.4,38.00244140625
172,76.2,3.6,38.00244140625
172,76.2,3.6,38.00244140625
173,76.4,2.7,38.00244140625
173,76.4,2.7,38.00244140625
174,76.5,4.0,38.00244140625
174,76.5,4.0,38.00244140625
175,76.4,4.2,38.00244140625
175,76.4,4.2,38.00244140625
176,76.5,3.6,38.00244140625
176,76.5,3.6,38.00244140625
177,76.7,4.6,38.00244140625
177,76.7,4.6,38.00244140625
178,76.7,2.5,38.00244140625
178,76.7,2.5,38.00244140625
179,76.8,4.4,38.00244140625
179,76.8,4.4,38.00244140625
180,76.9,5.3,38.00244140625
180,76.9,5.3,38.00244140625
181,76.6,6.2,38.00244140625
181,76.6,6.2,38.00244140625
182,76.6,3.4,38.00244140625
182,76.6,3.4,38.00244140625
183,77.2,2.0,38.00244140625
183,77.2,2.0,38.00244140625
184,77.3,3.1,38.00244140625
184,77.3,3.1,38.00244140625
185,77.4,4.3,38.00244140625
185,77.4,4.3,38.00244140625
186,77.5,4.8,38.00244140625
186,77.5,4.8,38.00244140625
187,77.6,3.1,38.00244140625
187,77.6,3.1,38.00244140625
188,78.6,3.6,38.00244140625
188,78.6,3.6,38.00244140625
189,78.3,4.8,38.00244140625
189,78.3,4.8,38.00244140625
190,78.2,3.4,38.00244140625
190,78.2,3.4,38.00244140625
191,78.3,4.9,38.00244140625
191,78.3,4.9,38.00244140625
192,77.8,3.3,38.00244140625
192,77.8,3.3,38.00244140625
193,77.8,4.0,38.00244140625
193,77.8,4.0,38.00244140625
194,78.0,3.8,38.00244140625
194,78.0,3.8,38.00244140625
195,78.1,4.3,38.00244140625
195,78.1,4.3,38.00244140625
196,78.2,4.9,38.00244140625
196,78.2,4.9,38.00244140625
197,78.2,3.6,38.00244140625
197,78.2,3.6,38.00244140625
198,78.2,4.4,38.00244140625
198,78.2,4.4,38.00244140625
199,78.3,3.2,38.00244140625
199,78.3,3.2,38.00244140625
200,78.4,5.2,38.00244140625
200,78.4,5.2,38.00244140625
201,78.4,3.3,38.00244140625
201,78.4,3.3,38.00244140625
202,78.9,3.4,38.00244140625
202,78.9,3.4,38.00244140625
203,78.4,3.9,38.00244140625
203,78.4,3.9,38.00244140625
204,78.5,5.7,38.00244140625
204,78.5,5.7,38.00244140625
205,78.4,2.7,38.00244140625
205,78.4,2.7,38.00244140625
206,78.6,2.8,38.00244140625
206,78.6,2.8,38.00244140625
207,78.8,3.0,38.00244140625
207,78.8,3.0,38.00244140625
208,78.8,3.5,38.00244140625
208,78.8,3.5,38.00244140625
209,78.8,5.3,38.00244140625
209,78.8,5.3,38.00244140625
210,78.9,3.5,38.00244140625
210,78.9,3.5,38.00244140625
211,78.9,4.3,38.00244140625
211,78.9,4.3,38.00244140625
212,79.0,4.2,38.00244140625
212,79.0,4.2,38.00244140625
213,78.8,2.9,38.00244140625
213,78.8,2.9,38.00244140625
214,78.9,3.5,38.00244140625
214,78.9,3.5,38.00244140625
215,79.0,3.5,38.00244140625
215,79.0,3.5,38.00244140625
216,79.2,5.3,38.00244140625
216,79.2,5.3,38.00244140625
217,79.1,3.4,38.00244140625
217,79.1,3.4,38.00244140625
218,79.2,5.0,38.00244140625
218,79.2,5.0,38.00244140625
219,79.3,5.3,38.00244140625
219,79.3,5.3,38.00244140625
220,79.4,3.9,38.00244140625
220,79.4,3.9,38.00244140625
221,79.3,5.2,38.00244140625
221,79.3,5.2,38.00244140625
222,80.2,5.6,38.00244140625
222,80.2,5.6,38.00244140625
223,80.3,2.6,38.00244140625
223,80.3,2.6,38.00244140625
224,80.4,3.6,38.00244140625
224,80.4,3.6,38.00244140625
225,80.5,6.5,38.00244140625
225,80.5,6.5,38.00244140625
226,80.2,4.2,38.00244140625
226,80.2,4.2,38.00244140625
227,80.3,4.5,38.00244140625
227,80.3,4.5,38.00244140625
228,80.5,2.6,38.00244140625
228,80.5,2.6,38.00244140625
229,80.5,4.8,38.00244140625
229,80.5,4.8,38.00244140625
230,80.6,3.1,38.00244140625
230,80.6,3.1,38.00244140625
231,80.6,3.3,38.00244140625
231,80.6,3.3,38.00244140625
232,80.7,5.9,38.00244140625
232,80.7,5.9,38.00244140625
233,80.8,2.5,38.00244140625
233,80.8,2.5,38.00244140625
234,80.9,3.9,38.00244140625
234,80.9,3.9,38.00244140625
235,80.9,5.6,38.00244140625
235,80.9,5.6,38.00244140625
236,80.7,2.6,38.00244140625
236,80.7,2.6,38.00244140625
237,80.8,5.4,38.00244140625
237,80.8,5.4,38.00244140625
238,81.0,4.7,38.00244140625
238,81.0,4.7,38.00244140625
239,81.0,4.4,38.00244140625
239,81.0,4.4,38.00244140625
240,81.2,4.0,38.00244140625
240,81.2,4.0,38.00244140625
241,81.1,5.1,38.00244140625
241,81.1,5.1,38.00244140625
242,81.3,3.9,38.00244140625
242,81.3,3.9,38.00244140625
243,81.4,5.3,38.00244140625
243,81.4,5.3,38.00244140625
244,81.2,3.1,38.00244140625
244,81.2,3.1,38.00244140625
245,81.3,3.2,38.00244140625
245,81.3,3.2,38.00244140625
246,81.4,6.5,38.00244140625
246,81.4,6.5,38.00244140625
247,81.4,2.8,38.00244140625
247,81.4,2.8,38.00244140625
248,81.7,3.9,38.00244140625
248,81.7,3.9,38.00244140625
249,81.8,3.2,38.00244140625
249,81.8,3.2,38.00244140625
250,82.0,5.9,38.00244140625
250,82.0,5.9,38.00244140625
251,82.2,4.9,38.00244140625
251,82.2,4.9,38.00244140625
252,82.4,3.4,38.00244140625
252,82.4,3.4,38.00244140625
253,82.4,3.8,38.00244140625
253,82.4,3.8,38.00244140625
254,82.5,5.3,38.00244140625
254,82.5,5.3,38.00244140625
255,81.9,3.0,38.00244140625
255,81.9,3.0,38.00244140625
256,82.0,4.3,38.00244140625
256,82.0,4.3,38.00244140625
257,82.1,2.5,38.00244140625
257,82.1,2.5,38.00244140625
258,82.2,1.9,38.00244140625
258,82.2,1.9,38.00244140625
259,82.2,3.4,38.00244140625
259,82.2,3.4,38.00244140625
260,82.4,4.7,38.00244140625
260,82.4,4.7,38.00244140625
261,82.4,4.6,38.00244140625
261,82.4,4.6,38.00244140625
262,82.7,4.5,38.00244140625
262,82.7,4.5,38.00244140625
263,82.6,3.8,38.00244140625
263,82.6,3.8,38.00244140625
264,82.7,5.2,38.00244140625
264,82.7,5.2,38.00244140625
265,82.8,3.0,38.00244140625
265,82.8,3.0,38.00244140625
266,82.6,5.5,38.00244140625
266,82.6,5.5,38.00244140625
267,82.8,2.7,38.00244140625
267,82.8,2.7,38.00244140625
268,82.9,4.1,38.00244140625
268,82.9,4.1,38.00244140625
269,82.9,3.8,38.00244140625
269,82.9,3.8,38.00244140625
270,83.0,5.5,38.00244140625
270,83.0,5.5,38.00244140625
271,83.1,5.7,38.00244140625
271,83.1,5.7,38.00244140625
272,83.2,4.7,38.00244140625
272,83.2,4.7,38.00244140625
273,83.4,5.7,38.00244140625
273,83.4,5.7,38.00244140625
274,83.2,2.5,38.00244140625
274,83.2,2.5,38.00244140625
275,83.2,5.2,38.00244140625
275,83.2,5.2,38.00244140625
276,83.3,2.9,38.00244140625
276,83.3,2.9,38.00244140625
277,83.5,2.9,38.00244140625
277,83.5,2.9,38.00244140625
278,83.5,3.6,38.00244140625
278,83.5,3.6,38.00244140625
279,83.6,5.0,38.00244140625
279,83.6,5.0,38.00244140625
280,83.7,5.1,38.00244140625
280,83.7,5.1,38.00244140625
281,83.8,4.2,38.00244140625
281,83.8,4.2,38.00244140625
282,84.5,3.8,38.00244140625
282,84.5,3.8,38.00244140625
283,84.2,4.3,38.00244140625
283,84.2,4.3,38.00244140625
284,83.1,3.6,38.00244140625
284,83.1,3.6,38.00244140625
285,83.5,5.6,38.00244140625
285,83.5,5.6,38.00244140625
286,83.6,5.3,38.00244140625
